"Date","n_av365_zero","n_price_observed","n_price_missing","price_observed_rate","mean_price_if_observed","median_price_if_observed","mean_calendar_lag_days","same_calendar_scrape_share"
2023-04-05,105,105,0,1,552.085714285714,334,0,1
2023-04-06,7190,7190,0,1,212.425173852573,152,0,1
2023-05-03,20,20,0,1,225.05,157,0,1
2023-05-04,7334,7334,0,1,218.32015271339,153,0,1
2023-05-10,1,1,0,1,282,282,0,1
2023-06-05,6677,6677,0,1,215.238729968549,150,0,1
2023-06-06,608,608,0,1,278.763157894737,200,0.00164473684210526,0.998355263157895
2023-07-03,7309,7309,0,1,221.741825147079,155,0,1
2023-08-04,26,26,0,1,451.730769230769,190.5,0,1
2023-08-05,7264,7264,0,1,220.424834801762,156,0,1
2023-09-05,2421,2421,0,1,199.575795125981,150,0,1
2023-09-06,4562,4562,0,1,232.226874177992,165,0,1
2023-10-01,26,26,0,1,305.346153846154,287.5,0,1
2023-10-02,6940,6940,0,1,217.687175792507,155,0,1
2023-11-01,16,16,0,1,221.5625,144.5,0,1
2023-11-02,6866,6866,0,1,214.54296533644,155,0,1
2023-12-04,3964,3964,0,1,222.636982845611,157,0,1
2023-12-05,3332,3332,0,1,231.101740696279,163.5,0.000300120048019208,0.999699879951981
2023-12-06,3,3,0,1,299.666666666667,204,0,1
2024-01-05,4040,878,3162,0.217326732673267,303.236902050114,180,0,1
2024-01-06,3122,832,2290,0.266495836002562,226.6875,178.5,0.000320307495195388,0.999679692504805
2024-01-08,6,6,0,1,266.833333333333,229.5,0,1
2024-02-06,6971,502,6469,0.0720126237268685,212.894422310757,171.5,0,1
2024-02-08,11,0,11,0,NA,NA,0,1
2024-02-10,184,72,112,0.391304347826087,754.902777777778,243.5,0,1
2024-03-07,12,12,0,1,195.5,147.5,0,1
2024-03-08,7138,556,6582,0.077892967217708,304.201438848921,195,0,1
2024-04-06,8,8,0,1,149.125,131.5,0,1
2024-04-07,6542,101,6441,0.0154387037603179,258.534653465347,213,0,1
2024-05-03,15,15,0,1,185.333333333333,138,0,1
2024-05-04,6501,89,6412,0.0136902015074604,332.775280898876,250,0,1
2024-06-04,5294,35,5259,0.00661125802795618,386.628571428571,193,0,1
2024-06-05,1253,98,1155,0.0782122905027933,264.357142857143,213.5,0,1
2024-07-05,79,79,0,1,281.518987341772,186,0,1
2024-07-06,6396,26,6370,0.0040650406504065,403.192307692308,216.5,0,1
2024-08-05,6450,98,6352,0.0151937984496124,337.204081632653,198.5,0,1
2024-09-04,33,33,0,1,259.878787878788,199,0,1
2024-09-05,6511,72,6439,0.0110582091844571,366.138888888889,221,0,1
2024-10-04,6543,107,6436,0.0163533547302461,392.92523364486,280,0,1
2024-11-04,6510,111,6399,0.0170506912442396,319.864864864865,250,0,1
2024-12-04,13,13,0,1,193.692307692308,139,0,1
2024-12-05,6437,113,6324,0.0175547615348765,317.265486725664,258,0,1
