"filter_id","filter","family","cutoff","raw_verified_full","kept_verified_full","dropped_verified_full","kept_ex_quarter_ltm_mean","kept_ex_quarter_ltm_median","kept_mean_log_price_gap","dropped_mean_log_price_gap"
"baseline_verified","host_identity_verified=t only","baseline",NA,1059,1059,0,11.7695939565628,5,-0.0181841684969998,NA
"exqltm_ge0","ex_quarter_ltm >= 0","lower_bound","0",1059,1059,0,11.7695939565628,5,-0.0181841684969998,NA
"exqltm_ge1","ex_quarter_ltm >= 1","lower_bound","1",1059,1047,12,11.9044890162369,5,-0.0179798914391801,-0.0360073417917721
"exqltm_ge2","ex_quarter_ltm >= 2","lower_bound","2",1059,895,164,13.7564245810056,7,-0.0172010686857739,-0.0235492558814338
"exqltm_ge3","ex_quarter_ltm >= 3","lower_bound","3",1059,762,297,15.8083989501312,10,-0.0188064720256302,-0.016587551362938
"exqltm_ge5","ex_quarter_ltm >= 5","lower_bound","5",1059,557,502,20.359066427289,15,-0.0205581023600625,-0.0155501422784222
"exqltm_ge10","ex_quarter_ltm >= 10","lower_bound","10",1059,385,674,26.4883116883117,22,-0.0214092950482476,-0.0163419226183197
"exqltm_ge15","ex_quarter_ltm >= 15","lower_bound","15",1059,290,769,31.3172413793103,27,-0.0245694670930106,-0.0157761885323143
"exqltm_ge20","ex_quarter_ltm >= 20","lower_bound","20",1059,225,834,35.4622222222222,33,-0.0276792045893059,-0.0156225580404424
"exqltm_ge30","ex_quarter_ltm >= 30","lower_bound","30",1059,135,924,43.4888888888889,39,-0.0248819365402578,-0.0172055984906796
"exqltm_le0","ex_quarter_ltm <= 0","upper_bound","0",1059,12,1047,0,0,-0.0360073417917721,-0.0179798914391801
"exqltm_le1","ex_quarter_ltm <= 1","upper_bound","1",1059,164,895,0.926829268292683,1,-0.0235492558814338,-0.0172010686857739
"exqltm_le2","ex_quarter_ltm <= 2","upper_bound","2",1059,297,762,1.40740740740741,1,-0.016587551362938,-0.0188064720256302
"exqltm_le3","ex_quarter_ltm <= 3","upper_bound","3",1059,411,648,1.84914841849148,2,-0.0161104515802787,-0.0194994426525127
"exqltm_le5","ex_quarter_ltm <= 5","upper_bound","5",1059,550,509,2.48,2,-0.0159774303275942,-0.0205686596427229
"exqltm_le10","ex_quarter_ltm <= 10","upper_bound","10",1059,694,365,3.55331412103746,3,-0.0168413797263863,-0.0207373065978375
"exqltm_le15","ex_quarter_ltm <= 15","upper_bound","15",1059,781,278,4.56081946222791,3,-0.0158047828201655,-0.0248687016394732
"exqltm_le20","ex_quarter_ltm <= 20","upper_bound","20",1059,847,212,5.60212514757969,4,-0.0153152804484326,-0.0296461882004736
"exqltm_le30","ex_quarter_ltm <= 30","upper_bound","30",1059,931,128,7.30719656283566,4,-0.0177694537155983,-0.0212005705398495
"exqltm_le50","ex_quarter_ltm <= 50","upper_bound","50",1059,1034,25,10.4274661508704,5,-0.0185507110794646,-0.00302396728625531
"exqltm_1_2","1 <= ex_quarter_ltm <= 2","range","1-2",1059,285,774,1.46666666666667,1,-0.0157698759764607,-0.0190731521770433
"exqltm_1_3","1 <= ex_quarter_ltm <= 3","range","1-3",1059,399,660,1.9047619047619,2,-0.0155120488671511,-0.0197995862732265
"exqltm_1_5","1 <= ex_quarter_ltm <= 5","range","1-5",1059,538,521,2.53531598513011,2,-0.0155306665031144,-0.020924253089534
"exqltm_1_10","1 <= ex_quarter_ltm <= 10","range","1-10",1059,682,377,3.6158357771261,3,-0.0165041487223033,-0.0212233554634269
"exqltm_2_3","2 <= ex_quarter_ltm <= 3","range","2-3",1059,247,812,2.46153846153846,2,-0.0111713264572446,-0.0203173852258416
"exqltm_2_5","2 <= ex_quarter_ltm <= 5","range","2-5",1059,386,673,3.13989637305699,3,-0.0127603852736313,-0.0212949862150091
"exqltm_2_10","2 <= ex_quarter_ltm <= 10","range","2-10",1059,530,529,4.36603773584906,4,-0.0147657350293528,-0.0216090640316934
"exqltm_2_20","2 <= ex_quarter_ltm <= 20","range","2-20",1059,683,376,6.72474377745242,5,-0.0133381618964381,-0.0269868879336584
"exqltm_3_20","3 <= ex_quarter_ltm <= 20","range","3-20",1059,550,509,7.86727272727273,6,-0.0146282541545996,-0.0220265120889843
"exqltm_5_20","5 <= ex_quarter_ltm <= 20","range","5-20",1059,345,714,10.495652173913,10,-0.0149735394668244,-0.0197355228603198
"exqltm_5_30","5 <= ex_quarter_ltm <= 30","range","5-30",1059,429,630,13.2377622377622,11,-0.0203664102225037,-0.0166981657982043
"exqltm_10_30","10 <= ex_quarter_ltm <= 30","range","10-30",1059,257,802,17.6536964980545,17,-0.0215132512236366,-0.0171173676731274
