"sample_id","sample","filter_id","filter","raw_n_panel_a","spec","coef_conv","se_conv","pv_conv","coef_bc","se_robust","pv_robust","h_left","h_right","obs_h","error"
"panel_a_ex2","ex_super=t & ex_super2=t","baseline","baseline",9550,"msetwo_fe",-0.0916038883412789,0.0381583088759671,0.0163669847034921,-0.0970764082000345,0.0416471019955435,0.019757141310112,0.0695350433884152,0.0751624664907868,1295,""
"panel_a_ex2","ex_super=t & ex_super2=t","baseline","baseline",9550,"twomse_fe",-0.0690318986796755,0.0243295918063829,0.00454877750786653,-0.115803259754845,0.0372053631356906,0.00185483545615553,0.13907008677683,0.150324932981574,3297,""
"panel_a_ex2","ex_super=t & ex_super2=t","baseline","baseline",9550,"h020_010_fe",-0.0579744502782503,0.0217064971080562,0.00756630570144628,-0.0810275864808805,0.031187749841708,0.00937526261314978,0.2,0.1,1966,""
"panel_a_ex2","ex_super=t & ex_super2=t","baseline","baseline",9550,"h030_015_fe",-0.036885107519108,0.0151336052391484,0.014797474439286,-0.0703100693653129,0.0220099677183368,0.00140090318473561,0.3,0.15,3294,""
"panel_a_ex2","ex_super=t & ex_super2=t","baseline","baseline",9550,"h040_020_fe",-0.0296959143362051,0.0133345574473456,0.0259480010399858,-0.0616283290446223,0.0198879315643578,0.00194319108061073,0.4,0.2,4813,""
"panel_a_ex2","ex_super=t & ex_super2=t","baseline","baseline",9550,"msetwo_no_fe",-0.144619027035262,0.0381762143246693,0.000151744406104909,-0.166960779218925,0.0446452182323753,0.000184222663711197,0.0898988319515954,0.11027078585324,2179,""
"panel_a_ex2","ex_super=t & ex_super2=t","drop_av365_row0","drop row availability_365=0",9297,"msetwo_fe",-0.0908563059635274,0.0426520115452695,0.0331570574110626,-0.0958175124860338,0.0462898109614359,0.0384571922866168,0.0645154554939128,0.0517517534602411,959,""
"panel_a_ex2","ex_super=t & ex_super2=t","drop_av365_row0","drop row availability_365=0",9297,"twomse_fe",-0.0817519881793686,0.0286240024607875,0.0042892841759742,-0.121183666534734,0.0446260065532131,0.00661679587407666,0.129030910987826,0.103503506920482,1963,""
"panel_a_ex2","ex_super=t & ex_super2=t","drop_av365_row0","drop row availability_365=0",9297,"h020_010_fe",-0.0606857170257263,0.0230501813444973,0.00846928559068501,-0.0877429966567848,0.0331675253864312,0.00815825854990401,0.2,0.1,1913,""
"panel_a_ex2","ex_super=t & ex_super2=t","drop_av365_row0","drop row availability_365=0",9297,"h030_015_fe",-0.0386341090096871,0.0157276033856358,0.0140316391459255,-0.0726449578598792,0.0229237509299899,0.00152973781619943,0.3,0.15,3208,""
"panel_a_ex2","ex_super=t & ex_super2=t","drop_av365_row0","drop row availability_365=0",9297,"h040_020_fe",-0.0316850993700575,0.013767226209477,0.0213640897408108,-0.0637221065966389,0.0205847680821921,0.00196418394805115,0.4,0.2,4685,""
"panel_a_ex2","ex_super=t & ex_super2=t","drop_av365_row0","drop row availability_365=0",9297,"msetwo_no_fe",-0.180128760274644,0.0477779007289295,0.000163164403708069,-0.203735912953146,0.0540929007874717,0.000165613332483077,0.0824964833975298,0.101047492876175,1780,""
"panel_a_ex2","ex_super=t & ex_super2=t","drop_av365_sum0","drop quarter-sum availability_365=0",9328,"msetwo_fe",-0.100920426703457,0.0429117809975777,0.0186822319021242,-0.106065484499217,0.0466149185855099,0.0228846471452694,0.0645133542516423,0.0576889820866309,1016,""
"panel_a_ex2","ex_super=t & ex_super2=t","drop_av365_sum0","drop quarter-sum availability_365=0",9328,"twomse_fe",-0.08592975496621,0.0281742265649635,0.0022888561614807,-0.130096148191929,0.044133642320655,0.00320067567491634,0.129026708503285,0.115377964173262,2248,""
"panel_a_ex2","ex_super=t & ex_super2=t","drop_av365_sum0","drop quarter-sum availability_365=0",9328,"h020_010_fe",-0.0645804526720918,0.0230660740078538,0.00511338744236172,-0.0932737792642184,0.0331705094646423,0.00492423179433215,0.2,0.1,1918,""
"panel_a_ex2","ex_super=t & ex_super2=t","drop_av365_sum0","drop quarter-sum availability_365=0",9328,"h030_015_fe",-0.0413238164206092,0.0157382702577099,0.0086473571430793,-0.0772493050666324,0.0229238140528874,0.00075215180551314,0.3,0.15,3214,""
"panel_a_ex2","ex_super=t & ex_super2=t","drop_av365_sum0","drop quarter-sum availability_365=0",9328,"h040_020_fe",-0.0336909946293871,0.0137743079984737,0.0144479005812235,-0.0675374461844883,0.0205880012040747,0.00103649884856347,0.4,0.2,4696,""
"panel_a_ex2","ex_super=t & ex_super2=t","drop_av365_sum0","drop quarter-sum availability_365=0",9328,"msetwo_no_fe",-0.187381468290539,0.0478822856176508,9.10140100216663e-05,-0.212288748053738,0.0542881735455313,9.21414755743621e-05,0.0825295711512215,0.106125236346161,1879,""
"panel_a_ex2_verified","ex_super=t & ex_super2=t & host_identity_verified=t","baseline","baseline",8594,"msetwo_fe",-0.0921046303230959,0.0383767918884496,0.0163946869585374,-0.098332991696928,0.0423786303287432,0.0203222870394866,0.0726662486067434,0.0694099919748273,1081,""
"panel_a_ex2_verified","ex_super=t & ex_super2=t & host_identity_verified=t","baseline","baseline",8594,"twomse_fe",-0.0807737335033198,0.0257961652045063,0.00174075606798133,-0.123683842171073,0.0389652156283854,0.00150244080261179,0.145332497213487,0.138819983949655,2642,""
"panel_a_ex2_verified","ex_super=t & ex_super2=t & host_identity_verified=t","baseline","baseline",8594,"h020_010_fe",-0.0696459920429372,0.0233817127844408,0.00289519128360513,-0.0926140570747089,0.0332973868784356,0.00541214713079507,0.2,0.1,1745,""
"panel_a_ex2_verified","ex_super=t & ex_super2=t & host_identity_verified=t","baseline","baseline",8594,"h030_015_fe",-0.0447603347923767,0.0161087055358838,0.00545865546418866,-0.0831922258924975,0.023394073614168,0.000376366535117317,0.3,0.15,2963,""
"panel_a_ex2_verified","ex_super=t & ex_super2=t & host_identity_verified=t","baseline","baseline",8594,"h040_020_fe",-0.0380331392857398,0.0143480438125144,0.00803122347452828,-0.0740559879918606,0.0214370432032781,0.000551149980175612,0.4,0.2,4379,""
"panel_a_ex2_verified","ex_super=t & ex_super2=t & host_identity_verified=t","baseline","baseline",8594,"msetwo_no_fe",-0.164938317816735,0.0389943116476726,2.33894409700899e-05,-0.189465995455567,0.0457229644889429,3.41624573769062e-05,0.103172298123175,0.115855081922623,2039,""
"panel_a_ex2_verified","ex_super=t & ex_super2=t & host_identity_verified=t","drop_av365_row0","drop row availability_365=0",8368,"msetwo_fe",-0.0944299920555965,0.0423998990236897,0.0259387365284944,-0.100675711014936,0.0466995070630997,0.0310977571138222,0.0701573043795023,0.0533212201451278,872,""
"panel_a_ex2_verified","ex_super=t & ex_super2=t & host_identity_verified=t","drop_av365_row0","drop row availability_365=0",8368,"twomse_fe",-0.0893449958941988,0.0291696692010832,0.00219172761998241,-0.12735425478568,0.0438231976447343,0.00365973542572853,0.140314608759005,0.106642440290256,1782,""
"panel_a_ex2_verified","ex_super=t & ex_super2=t & host_identity_verified=t","drop_av365_row0","drop row availability_365=0",8368,"h020_010_fe",-0.0736056449148283,0.0251152519724189,0.0033818291804828,-0.100875168758877,0.0357120257803803,0.00473273447580892,0.2,0.1,1699,""
"panel_a_ex2_verified","ex_super=t & ex_super2=t & host_identity_verified=t","drop_av365_row0","drop row availability_365=0",8368,"h030_015_fe",-0.047030599439547,0.0168824393155488,0.00534006837658053,-0.0868073995192913,0.0245835866406727,0.000413816375425351,0.3,0.15,2886,""
"panel_a_ex2_verified","ex_super=t & ex_super2=t & host_identity_verified=t","drop_av365_row0","drop row availability_365=0",8368,"h040_020_fe",-0.040402920790942,0.0149380186582589,0.00683652505700893,-0.0773658412585467,0.022404203053635,0.000554010445036787,0.4,0.2,4263,""
"panel_a_ex2_verified","ex_super=t & ex_super2=t & host_identity_verified=t","drop_av365_row0","drop row availability_365=0",8368,"msetwo_no_fe",-0.218283011765067,0.0528037528172737,3.56729934335246e-05,-0.247534060455524,0.0602138366282758,3.94091541900682e-05,0.0822097616887124,0.118428733664967,1964,""
"panel_a_ex2_verified","ex_super=t & ex_super2=t & host_identity_verified=t","drop_av365_sum0","drop quarter-sum availability_365=0",8397,"msetwo_fe",-0.104659676466504,0.0426965259327463,0.0142362732352395,-0.111623783383784,0.0470548246386955,0.0176821822789977,0.0701500223564382,0.0583959173743651,932,""
"panel_a_ex2_verified","ex_super=t & ex_super2=t & host_identity_verified=t","drop_av365_sum0","drop quarter-sum availability_365=0",8397,"twomse_fe",-0.0944775519542078,0.0288868913415294,0.00107318472782808,-0.136922661838152,0.0435222794463329,0.00165499582555016,0.140300044712876,0.11679183474873,2064,""
"panel_a_ex2_verified","ex_super=t & ex_super2=t & host_identity_verified=t","drop_av365_sum0","drop quarter-sum availability_365=0",8397,"h020_010_fe",-0.0779631847612608,0.0251273995844149,0.00191753557387527,-0.107043201312281,0.0357019948639504,0.00271542438241266,0.2,0.1,1704,""
"panel_a_ex2_verified","ex_super=t & ex_super2=t & host_identity_verified=t","drop_av365_sum0","drop quarter-sum availability_365=0",8397,"h030_015_fe",-0.0500480977181903,0.0168890257350049,0.00304310143549777,-0.0919269638635564,0.0245690632775814,0.000182871446016371,0.3,0.15,2892,""
"panel_a_ex2_verified","ex_super=t & ex_super2=t & host_identity_verified=t","drop_av365_sum0","drop quarter-sum availability_365=0",8397,"h040_020_fe",-0.0426765231957536,0.0149428389285192,0.00429035460978718,-0.0816735869206103,0.0223979089901544,0.000265854401207755,0.4,0.2,4274,""
"panel_a_ex2_verified","ex_super=t & ex_super2=t & host_identity_verified=t","drop_av365_sum0","drop quarter-sum availability_365=0",8397,"msetwo_no_fe",-0.224856407455952,0.0532478613983008,2.41259000237658e-05,-0.254011033282915,0.0606671443572775,2.82713029140026e-05,0.0822352214107531,0.114382467396754,1892,""
