"filter_id","filter","family","raw_n_panel_b","n_negative","max_coef","min_p","best_coef","best_spec"
"drop_av365full","drop availability_365=365","calendar_fully_open",981,4,0.00146717715269525,0.153927089858072,-0.0786766234046019,"msetwo_no_fe"
"drop_ltm0_av90pos","drop number_of_reviews_ltm=0 & availability_90>0","zero_demand_calendar_open",1031,3,0.0088152457925384,0.137595170094089,-0.078513407602302,"msetwo_no_fe"
"drop_ltm0_av365pos","drop number_of_reviews_ltm=0 & availability_365>0","zero_demand_calendar_open",1027,3,0.0088152457925384,0.137631660567567,-0.0785337180467762,"msetwo_no_fe"
"drop_ltm0_stale180","drop number_of_reviews_ltm=0 & no/stale last_review>180","zero_demand_stale_review",1026,3,0.0088152457925384,0.137649327106533,-0.078535481101568,"msetwo_no_fe"
"drop_ltm0_stale365","drop number_of_reviews_ltm=0 & no/stale last_review>365","zero_demand_stale_review",1026,3,0.0088152457925384,0.137649327106533,-0.078535481101568,"msetwo_no_fe"
"drop_number_reviews_ltm0","drop number_of_reviews_ltm=0","zero_recent_demand",1026,3,0.0088152457925384,0.137649327106533,-0.078535481101568,"msetwo_no_fe"
"drop_any_zero_demand","drop any zero demand proxy","zero_recent_demand",1014,3,0.00905444960727246,0.140638867752769,-0.0779203059167946,"msetwo_no_fe"
"drop_any_calendar_full","drop availability_90=90 or availability_365=365","calendar_fully_open",904,3,0.00937675792040953,0.233777628525802,-0.0702921340326927,"msetwo_no_fe"
"drop_av90full","drop availability_90=90","calendar_fully_open",904,3,0.00937675792040953,0.233777628525802,-0.0702921340326927,"msetwo_no_fe"
"drop_ex_quarter_reviews0","drop ex_quarter_number_of_reviews=0","zero_recent_demand",1055,2,0.012999203215232,0.163635540154415,-0.0737945777870877,"msetwo_no_fe"
"drop_ex_reviews0_av365pos","drop ex_quarter_number_of_reviews=0 & availability_365>0","zero_demand_calendar_open",1055,2,0.012999203215232,0.163635540154415,-0.0737945777870877,"msetwo_no_fe"
"drop_ex_reviews0_av90pos","drop ex_quarter_number_of_reviews=0 & availability_90>0","zero_demand_calendar_open",1055,2,0.012999203215232,0.163635540154415,-0.0737945777870877,"msetwo_no_fe"
"drop_ex_ltm0_av90pos","drop ex_quarter_ltm=0 & availability_90>0","zero_demand_calendar_open",1049,2,0.0130255675628278,0.164245350809411,-0.0737134608779648,"msetwo_no_fe"
"drop_ltm0_av365full","drop number_of_reviews_ltm=0 & availability_365=365","zero_demand_calendar_fully_open",1053,2,0.0131133104642756,0.164408502755013,-0.0741085033944177,"msetwo_no_fe"
"drop_ltm0_av90full","drop number_of_reviews_ltm=0 & availability_90=90","zero_demand_calendar_fully_open",1051,2,0.0131155889755657,0.164506117253112,-0.0740988955142791,"msetwo_no_fe"
"baseline_verified","host_identity_verified=t only","baseline",1059,2,0.0132367535905647,0.164265733047122,-0.0737243438595218,"msetwo_no_fe"
"drop_ex_ltm0_av365full","drop ex_quarter_ltm=0 & availability_365=365","zero_demand_calendar_fully_open",1059,2,0.0132367535905647,0.164265733047122,-0.0737243438595218,"msetwo_no_fe"
"drop_ex_ltm0_av90full","drop ex_quarter_ltm=0 & availability_90=90","zero_demand_calendar_fully_open",1059,2,0.0132367535905647,0.164265733047122,-0.0737243438595218,"msetwo_no_fe"
"drop_ex_reviews0_av365full","drop ex_quarter_number_of_reviews=0 & availability_365=365","zero_demand_calendar_fully_open",1059,2,0.0132367535905647,0.164265733047122,-0.0737243438595218,"msetwo_no_fe"
"drop_ex_reviews0_av90full","drop ex_quarter_number_of_reviews=0 & availability_90=90","zero_demand_calendar_fully_open",1059,2,0.0132367535905647,0.164265733047122,-0.0737243438595218,"msetwo_no_fe"
"drop_reviews_per_month0_or_na","drop reviews_per_month=0 or NA","zero_recent_demand",1059,2,0.0132367535905647,0.164265733047122,-0.0737243438595218,"msetwo_no_fe"
"drop_ex_ltm0_av365pos","drop ex_quarter_ltm=0 & availability_365>0","zero_demand_calendar_open",1047,2,0.0134832586134768,0.168093815581727,-0.0730465517146233,"msetwo_no_fe"
"drop_ex_quarter_ltm0","drop ex_quarter_ltm=0","zero_recent_demand",1047,2,0.0134832586134768,0.168093815581727,-0.0730465517146233,"msetwo_no_fe"
